Associated Gene Name,gene_length_bp,FANTOM_Total_CAGE_TPM,Cytosol_TPM,PB_TPM,Pub_Log2FC,NEW_Log2FC_TPM,Cap_index,DepMap_Common_Essential,DepMap_Strongly_Selective,DepMap_Flag_Status,DepMap_Dependent_Cell_Lines
SOX11,8718,2.592204785,180.8810494,473.6314181,2.193012825,1.38867422,0.014330992,0,1,strongly selective,20
MED23,7448,17.00486339,172.8348199,446.81846,2.192871585,1.370243712,0.098387949,0,1,strongly selective,244
CCDC77,3614,9.850378183,126.0513654,317.7230004,2.189836815,1.333688745,0.078145748,0,0,not flagged,31
SFMBT2,9955,0.518440957,40.97953084,105.5171642,2.189638272,1.364287035,0.012651217,0,0,not flagged,4
RPL7L1,7809,18.56018626,281.1278916,719.9173624,2.183553253,1.35657344,0.066020437,1,0,common essential,355
SYDE2,6451,2.177452019,24.61486543,62.60184979,2.182842556,1.346319884,0.088460854,0,0,not flagged,4
MBNL2,4884,11.19832467,157.4667134,388.9258496,2.182684748,1.304393711,0.071115504,0,0,not flagged,0
ZMYM1,4828,10.16144276,128.5450503,313.3042082,2.181775661,1.285223907,0.079049662,0,1,strongly selective,8
PAPOLG,8501,19.2860036,199.4862195,504.8511352,2.178053144,1.339525214,0.096678375,0,0,not flagged,0
PRDM11,5527,0.829505531,10.80508248,26.96631222,2.177646861,1.318648471,0.07676994,0,0,not flagged,1
PGBD4,2318,2.488516594,106.6304523,272.133146,2.177185149,1.351610897,0.023337766,0,1,strongly selective,4
KBTBD8,4740,1.970075637,129.6459386,319.9683448,2.16834817,1.303285984,0.015195815,0,0,not flagged,2
TLK2,8583,0,72.04176567,185.3950124,2.161425781,1.363574558,0,1,1,both,770
ZNF236,8770,2.384828402,44.67549152,112.2343682,2.156728794,1.328764662,0.053381134,0,0,not flagged,260
AIDA,4517,6.221291484,74.1104596,184.5853896,2.154597695,1.316422789,0.0839462,0,0,not flagged,0
TIGD4,2472,0.518440957,18.581968,45.76361286,2.151646757,1.299836676,0.027900218,0,0,not flagged,2
CSNK1G1,8414,4.147527656,73.9794787,184.7617619,2.145244406,1.320352251,0.056063218,0,0,not flagged,0
PELI2,6278,5.18440957,67.15720362,166.4962694,2.141150905,1.309747628,0.077198116,0,0,not flagged,1
CCNE2,4399,3.110645742,77.51841457,189.1350001,2.139920689,1.286695573,0.04012783,0,1,strongly selective,31
PDP1,5603,1.866387445,41.3425146,102.994126,2.139491433,1.316655162,0.045144507,0,0,not flagged,0
DENND4A,8902,9.539313609,108.5826176,269.2984138,2.138669026,1.310333275,0.087853045,0,1,strongly selective,46
KLHL11,2383,26.23311242,281.796918,700.4222599,2.135448211,1.313538503,0.093092262,0,1,strongly selective,198
BNC1,4795,0,26.12703983,64.82663301,2.132737968,1.310713416,0,0,0,not flagged,5
SNAI2,2282,4.043839464,510.4082995,1259.819617,2.131840011,1.303476675,0.007922754,0,1,strongly selective,106
ZNF618,10384,3.525398508,50.96611162,125.2861205,2.131523504,1.29744851,0.069171424,0,0,not flagged,0
RBBP8,5091,10.26513095,180.4475487,422.3079955,2.122599919,1.22667023,0.056887062,1,0,common essential,1128
ZIC5,4639,7.258173398,87.7764168,218.6392602,2.118361946,1.316548833,0.082689333,0,0,not flagged,3
KBTBD2,4987,6.117603292,83.13144421,202.3140275,2.118117671,1.283027947,0.073589523,0,1,strongly selective,80
PAPSS2,4116,3.73277489,72.00934106,175.741572,2.115253805,1.287081289,0.05183737,0,0,not flagged,0
WDR17,7817,1.866387445,23.2251539,55.65571983,2.113240062,1.260479957,0.080360606,0,0,not flagged,0
PARP8,10056,2.592204785,76.88520687,185.5948171,2.112831318,1.271268576,0.033715261,0,0,not flagged,1
TRIM6,3947,1.140570105,13.62436211,30.48585351,2.10748882,1.161365889,0.083715487,0,0,not flagged,0
ZFP91,5220,0.207376383,223.8205144,544.5116949,2.106231273,1.2825828,0.00092653,0,1,strongly selective,24
RBL1,5954,8.087678929,99.11096167,241.1869146,2.106152108,1.282949363,0.081602265,0,0,not flagged,3
ZNF704,15008,0.933193723,17.4319445,41.55636084,2.09381818,1.252855558,0.053533541,0,0,not flagged,0
C17orf80,4661,13.89421765,160.0692469,378.5923872,2.089204763,1.241897223,0.086801293,,,not flagged,
RIC8B,7791,2.592204785,35.95751666,82.45867117,2.08497842,1.197151608,0.072090762,0,0,not flagged,0
PRKD3,10244,19.59706817,212.6487836,492.3421545,2.082615438,1.211150127,0.092156973,0,0,not flagged,7
IK,4096,0.311064574,134.0086817,325.5048385,2.07652121,1.280289189,0.002321227,1,1,both,1185
SGCB,4541,6.117603292,131.5441623,310.8210262,2.07487871,1.240473621,0.04650608,0,0,not flagged,1
FBXO5,3823,102.7549977,1523.520219,3607.519598,2.072380787,1.243593115,0.067445772,1,0,common essential,1160
ZXDA,5204,0,15.14869741,35.62618996,2.071781353,1.233197311,0,0,1,strongly selective,2
OXSR1,6075,4.354904039,43.63991735,103.6715077,2.069465039,1.248107775,0.099791757,0,1,strongly selective,24
EZH2,4522,11.92414201,131.6953054,311.5447901,2.067354536,1.242172436,0.09054341,0,1,strongly selective,81
POGZ,10272,14.82741137,158.3514367,373.2917913,2.064382338,1.23712137,0.093636103,0,0,not flagged,334
CCDC89,2428,1.45163468,24.95335168,58.6083253,2.061190023,1.231540102,0.058173936,0,0,not flagged,0
PCDH18,5925,3.318022125,95.07280068,225.079241,2.057965788,1.243240796,0.034899804,0,0,not flagged,0
DCUN1D4,7625,6.947108824,100.036848,233.4446052,2.05687078,1.222466332,0.069445499,0,0,not flagged,4
PNRC2,2564,5.080721378,128.2207018,298.6217926,2.055877628,1.219626042,0.039624813,0,0,not flagged,143
ZBTB6,4106,9.331937226,264.7899014,591.8133874,2.054137196,1.160264124,0.035242799,0,0,not flagged,1
KLF11,4589,3.110645742,36.75795234,86.45973621,2.050956819,1.233746455,0.08462511,0,0,not flagged,0
SLFN11,5982,25.19623051,301.2967879,702.551028,2.043961062,1.221390376,0.083625951,0,0,not flagged,0
GNAI1,4547,7.672926163,126.6263086,296.0931718,2.04376045,1.225408838,0.060595039,0,1,strongly selective,4
GRIP1,6378,0,13.99110723,32.51162313,2.035470931,1.21585834,0,0,0,not flagged,0
PCDH17,8242,0,52.66497953,121.5676614,2.031811865,1.20668842,0,0,0,not flagged,1
ATL2,4885,16.9011752,252.0820062,581.625178,2.030076346,1.206164157,0.067046337,0,1,strongly selective,770
DCLRE1A,4596,4.665968613,158.3651675,355.8588165,2.02887417,1.167999375,0.029463352,0,0,not flagged,1
KIAA2026,7930,1.244258297,29.57440687,63.4929324,2.024315808,1.101986242,0.04207213,,,not flagged,
NRAS,4449,34.42447954,362.2904491,828.8747906,2.024026425,1.193984997,0.095019009,0,1,strongly selective,99
ENPP5,4264,3.110645742,40.60004192,90.57395988,2.021289736,1.157419092,0.076616811,0,0,not flagged,0
STC1,4149,1.555322871,180.9681528,411.5383375,2.020787824,1.18524634,0.008594456,0,0,not flagged,0
CDK11B,3130,0.311064574,22.9639727,53.1591381,2.020054704,1.210588728,0.013545765,,,not flagged,
