Associated Gene Name,gene_length_bp,FANTOM_Total_CAGE_TPM,Cytosol_TPM,PB_TPM,RNA enrichment in P-body (log2) (Fold change=sorted P-bodies/pre-sorted fraction),NEW_Log2FC_TPM,Cap_index,DepMap_Common_Essential,DepMap_Strongly_Selective,DepMap_Flag_Status,DepMap_Dependent_Cell_Lines
CCNT2,9081,8.19136712038253,142.6123065045792,305.44803861196704,1.93693969377536,1.098774566986888,0.0574380102331456,0,0,not flagged,18
PALB2,4740,10.5761955225192,108.334863751903,228.02669790728987,1.93922481732081,1.0736352537771154,0.0976250410647091,1,0,common essential,340
NEK2,3027,5.39178595265685,56.480747473227474,121.60673522872683,1.93976081467216,1.106255271027961,0.0954623689286799,0,1,strongly selective,6
RAB39B,3505,0.207376382794494,18.32535799957665,38.980651981037454,1.94417865809207,1.088499843839895,0.0113163618849511,0,0,not flagged,0
CALCRL,6144,0.829505531177977,22.879725075785064,48.14907993346187,1.95059378494586,1.0731076949952738,0.0362550480143614,0,0,not flagged,0
PIBF1,3669,15.449540518189778,202.80770994279192,415.94458798885745,1.95754721444148,1.0362423968826002,0.0761782701582094,0,1,strongly selective,3
AKAP5,7512,2.281140210739442,28.531159066920804,58.97789708633294,1.95921469242839,1.0473750537467716,0.0799525951745931,0,0,not flagged,1
FAM117B,5996,5.702850526848597,63.580046552168305,139.5095278381832,1.96406228348486,1.1335941927750084,0.0896956016250999,0,0,not flagged,6
PYGO1,8594,3.732774890300893,46.76541087598675,103.38749373582245,1.96734076742924,1.1443789851279864,0.0798191402658585,0,1,strongly selective,1
RNF38,6138,9.331937225752243,99.08337771562292,218.2744515640393,1.9710482653722,1.1393488183213276,0.0941826716135539,0,0,not flagged,7
FKTN,8032,4.04383946449264,88.69823704504866,191.07616323804896,1.97279120717757,1.1070833369573083,0.0455909790229407,0,0,not flagged,7
DENND2C,7408,3.940151273095392,67.27425819847839,147.1778004298285,1.97376833186948,1.12931718246117,0.0585684833784538,0,1,strongly selective,21
PTER,3998,5.080721378465108,57.78560930251707,125.0810463363376,1.97970657212307,1.1139467278325788,0.0879236446546181,0,1,strongly selective,1
NAB1,4893,3.31802212471191,56.27291167641792,126.31077444015142,1.98524833366911,1.1663230507606042,0.0589630432452348,0,0,not flagged,0
TBC1D9,5603,3.318022124711908,46.21190826121688,103.94365262569006,1.98659263445569,1.169291723656504,0.0718001538901292,0,0,not flagged,1
ELL2,7246,3.940151273095388,76.51158997569082,168.82416440942572,1.98784808300362,1.141668114286957,0.0514974433853387,0,1,strongly selective,8
ZNF280C,4634,8.917184460163257,143.22685630229196,318.56450317932087,1.98890626390185,1.153228046197199,0.0622591648687925,0,0,not flagged,1
NLGN1,10147,1.659011062355954,19.9848465617637,43.51902499748089,1.98957440034083,1.1223494955890891,0.083013450077224,0,0,not flagged,0
CUL4A,5784,7.465549780601801,103.12080105605908,231.63433312325552,1.98992752866293,1.1674361166322444,0.0723961577503974,0,1,strongly selective,11
THAP9,4332,3.0069575505201662,31.17873762128505,66.13896912886067,1.99116525664902,1.0846935134588689,0.0964425688764057,0,0,not flagged,0
PTPN3,10071,4.354904038684378,67.17257622189668,151.86105053915676,1.99533500486367,1.1766878672434318,0.064831576867001,0,0,not flagged,0
NUCKS1,6546,29.13638178262644,987.9450337505972,2212.8476118998096,1.99562968933792,1.1633933378372054,0.0294919057105982,0,0,not flagged,7
